rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0.809988888888889,0.10333333333333333,0.23523333333333327,0,0,1.0,,,,,,,,,,,10
0.7898111111111112,0.08333333333333333,0.24678888888888886,1,0,0.6749453808823869,0.32505461911761313,,,,,,,,,,10
0.7886888888888888,0.08333333333333333,0.24549999999999997,2,0,0.6614868558404673,0.33851314415953265,8.673447973294585e-19,,,,,,,,,10
0.7926444444444447,0.09,0.24428888888888892,3,0,0.6675944228775861,0.13130051542756688,1.0398176460493791e-17,0.20110506169484688,,,,,,,,10
0.789888888888889,0.09333333333333334,0.24821111111111102,4,0,0.5799755103630151,0.06719204289245494,4.849084468613616e-22,0.22308385918656518,0.12974858755796548,,,,,,,10
1.0,1.0,0.0,5,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,1.0,0.0,6,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,1.0,0.0,7,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,1.0,0.0,8,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,1.0,0.0,9,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,1.0,0.0,10,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
0.8120444444444445,0.09,0.21532222222222222,0,1,1.0,,,,,,,,,,,10
0.7873111111111115,0.05333333333333334,0.24786666666666649,1,1,0.6513897752588975,0.34861022474110254,,,,,,,,,,10
0.8120444444444445,0.09,0.21532222222222222,2,1,0.999999999999996,3.7816971776294395e-15,2.5587171270657905e-16,,,,,,,,,10
0.8120444444444445,0.09,0.21532222222222222,3,1,0.9999999999999999,0.0,9.974659986866641e-18,1.3704315460216776e-16,,,,,,,,10
0.8120666666666666,0.09,0.21532222222222222,4,1,0.9985966198089526,0.0,2.07963529209874e-17,6.659796547846903e-20,0.0014033801910502384,,,,,,,10
1.0,1.0,0.0,5,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,1.0,0.0,6,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,1.0,0.0,7,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,1.0,0.0,8,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,1.0,0.0,9,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,1.0,0.0,10,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
