,rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0,0.9466,0.31,0.08139999999999996,0,0,1.0,,,,,,,,,,,10
0,0.9466,0.31,0.08139999999999996,1,0,0.9999999999999999,0.0,,,,,,,,,,10
0,0.9414999999999999,0.32,0.06579999999999997,2,0,0.8151819979112533,0.0030788480847552006,0.18173915400399251,,,,,,,,,10
0,0.9377999999999999,0.31,0.06679999999999996,3,0,0.7307611247179394,0.014115021192060229,0.17646596015953975,0.07865789393046062,,,,,,,,10
0,0.9373,0.31,0.06689999999999997,4,0,0.7493260196074167,0.07741216273048762,0.14535179329496664,0.027910024367129013,4.3365756864900013e-19,,,,,,,10
0,0.9358999999999997,0.3,0.07209999999999996,5,0,0.6928644268639209,2.2180405227561722e-05,0.2360159880036949,0.04835048549007737,0.0,0.02274691923707919,,,,,,10
0,0.9384999999999996,0.31,0.07369999999999997,6,0,0.7037990167470594,8.323835595578111e-17,0.16234198866768876,0.09490401187503679,1.251656960542734e-21,0.03893880127646275,1.618143375219754e-05,,,,,10
0,0.9420000000000002,0.31,0.06859999999999995,7,0,0.8020098792453106,4.4326174218906274e-13,5.79368159050572e-16,0.18004910872201202,5.751415501510243e-07,2.639420930572905e-14,9.753411435511402e-13,0.017940436889693188,,,,10
0,0.9340999999999997,0.32,0.06619999999999997,8,0,0.7485186442083863,2.0812173626820404e-17,2.09349075580014e-06,2.081630603797991e-17,3.468695604470067e-17,5.551763160330342e-17,0.2083400719073028,0.005003681976959203,0.03813550841659624,,,10
0,0.9381000000000002,0.32,0.06609999999999996,9,0,0.6901259461788594,5.20260429329531e-18,0.14445371777408175,3.6418230053067166e-17,1.3873611448787492e-17,1.2268054641709505e-20,0.07404684029437178,0.03747750191685894,0.021531976275530232,0.03236401756029852,,10
0,0.9488000000000001,0.32,0.06119999999999996,10,0,0.8500905867591796,1.7453073812533662e-18,0.0,2.8638121291552627e-06,0.0,3.175171582967761e-20,7.809960008742428e-18,0.11089093555329593,1.1113100540387169e-20,0.03901561387539561,8.675734160939348e-18,10
0,0.9473999999999997,0.32,0.04569999999999994,0,1,1.0,,,,,,,,,,,10
0,0.9473999999999997,0.32,0.04569999999999994,1,1,1.0,0.0,,,,,,,,,,10
0,0.9473999999999997,0.32,0.04569999999999994,2,1,0.995420731145534,0.004579268854492748,0.0,,,,,,,,,10
0,0.9476999999999998,0.32,0.04569999999999994,3,1,0.984071357103114,5.545694112263355e-17,4.1607528918552114e-17,0.01592864289688621,,,,,,,,10
0,0.9473999999999997,0.32,0.04569999999999994,4,1,0.9999999999999993,6.661338147750939e-16,1.6653345369377348e-16,0.0,8.326672684688674e-17,,,,,,,10
0,0.9477999999999998,0.32,0.04569999999999994,5,1,0.9881168502896059,5.718997053271585e-17,0.0,0.008666446987915515,0.0032167027224785172,1.126469116553494e-17,,,,,,10
0,0.9472,0.31,0.04599999999999994,6,1,0.834174666439889,5.451204802735994e-06,3.0650752112181704e-05,1.3983579576486983e-17,0.053275065567173124,0.0,0.11251416603602304,,,,,10
0,0.9467000000000002,0.31,0.045499999999999936,7,1,0.8999289483654574,8.145723700374664e-17,0.0027005960201094527,0.040620132969294794,0.012911428609178986,0.0,0.043838894035959315,1.74985114637492e-20,,,,10
0,0.9470999999999998,0.33,0.04569999999999994,8,1,0.7607153779345922,0.0,0.005830680796745435,0.0012108541141918094,0.020027189214339162,0.09201131000631954,2.4602660440098155e-05,0.048203665425907635,0.07197631984746418,,,10
0,0.9474999999999999,0.32,0.04539999999999994,9,1,0.9601436024255114,0.0,1.590925528808169e-21,4.1595181210751975e-17,9.999909493506012e-07,1.590925528808169e-21,0.021498669172588653,0.01835672841095079,2.773012080716798e-17,1.3865617227519073e-16,,10
0,0.9479999999999998,0.31,0.04549999999999994,10,1,0.9360591614011005,2.1148116294799704e-20,0.033446438241867285,0.02357490342805131,1.2999852011678653e-16,3.6460514570413074e-06,2.2557990714453018e-20,0.006915850877523895,2.7748526243530646e-17,1.386650881245723e-17,2.5999704023357306e-16,10
